name,phone,demo_link,message,whatsapp_link,status
Board 4 Bored - A Board Game Cafe Bangalore,+919606173535,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=board-4-bored---a-board-game-cafe-bangalore&location=bangalore,"Hi,

I noticed Board 4 Bored - A Board Game Cafe Bangalore doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=board-4-bored---a-board-game-cafe-bangalore&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+919606173535?text=Hi%2C%0A%0AI%20noticed%20Board%204%20Bored%20-%20A%20Board%20Game%20Cafe%20Bangalore%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dboard-4-bored---a-board-game-cafe-bangalore%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Iris Cafe Hsr,+918041566935,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=iris-cafe-hsr&location=bangalore,"Hi,

I noticed Iris Cafe Hsr doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=iris-cafe-hsr&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918041566935?text=Hi%2C%0A%0AI%20noticed%20Iris%20Cafe%20Hsr%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Diris-cafe-hsr%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Secret Spot Cafe,+918971285555,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=secret-spot-cafe&location=bangalore,"Hi,

I noticed Secret Spot Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=secret-spot-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918971285555?text=Hi%2C%0A%0AI%20noticed%20Secret%20Spot%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dsecret-spot-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Cafe Terra,+918041631800,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-terra&location=bangalore,"Hi,

I noticed Cafe Terra doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-terra&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918041631800?text=Hi%2C%0A%0AI%20noticed%20Cafe%20Terra%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dcafe-terra%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Cafe Medley,+918041160865,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-medley&location=bangalore,"Hi,

I noticed Cafe Medley doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-medley&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918041160865?text=Hi%2C%0A%0AI%20noticed%20Cafe%20Medley%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dcafe-medley%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Bengaluru Cafe,+918296199994,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=bengaluru-cafe&location=bangalore,"Hi,

I noticed Bengaluru Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=bengaluru-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918296199994?text=Hi%2C%0A%0AI%20noticed%20Bengaluru%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dbengaluru-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Lazy Suzy,+918073032246,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=lazy-suzy&location=bangalore,"Hi,

I noticed Lazy Suzy doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=lazy-suzy&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918073032246?text=Hi%2C%0A%0AI%20noticed%20Lazy%20Suzy%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dlazy-suzy%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
The Green Door Coffee House,+919740393173,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-green-door-coffee-house&location=bangalore,"Hi,

I noticed The Green Door Coffee House doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-green-door-coffee-house&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+919740393173?text=Hi%2C%0A%0AI%20noticed%20The%20Green%20Door%20Coffee%20House%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dthe-green-door-coffee-house%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Tea Lounge Cafe,+918660458825,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=tea-lounge-cafe&location=bangalore,"Hi,

I noticed Tea Lounge Cafe doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=tea-lounge-cafe&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+918660458825?text=Hi%2C%0A%0AI%20noticed%20Tea%20Lounge%20Cafe%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dtea-lounge-cafe%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
Cafe Arena,+917411420121,https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-arena&location=bangalore,"Hi,

I noticed Cafe Arena doesn't have a strong online presence.

I created a quick demo showing how your cafe could look online:

https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-arena&location=bangalore

This is customizable with your photos & details. Interested in discussing further?",https://wa.me/+917411420121?text=Hi%2C%0A%0AI%20noticed%20Cafe%20Arena%20doesn%27t%20have%20a%20strong%20online%20presence.%0A%0AI%20created%20a%20quick%20demo%20showing%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttps%3A//ramesh-iitkgp.github.io/business-demo-site/cafe/demo%3Fname%3Dcafe-arena%26location%3Dbangalore%0A%0AThis%20is%20customizable%20with%20your%20photos%20%26%20details.%20Interested%20in%20discussing%20further%3F,ready_to_send
