name,category,phone,address,rating,website,google_maps_url,contacted
La Hanglas Book Cafe & Restro,cafe,+919051789689,"
BE 20 119, Street, BE Block(Newtown), Action Area I, Newtown, Kolkata, New Town, West Bengal 700163",,None,"https://www.google.com/maps/place/La+Hanglas+Book+Cafe+%26+Restro/@22.5837769,88.3996093,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0275064bcbb2ff:0x142c5e58ef75bd26!8m2!3d22.5837769!4d88.4717071!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11sj28qt7g?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
CIT Cafe,cafe,+913322843827,"
P-18/A, CIT Road, 172, Ananda Palit Rd, Park Circus, Entally, Kolkata, West Bengal 700014",,None,"https://www.google.com/maps/place/CIT+Cafe/@22.4719174,88.3105503,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0276fa7be8384b:0xd47c677e23594180!8m2!3d22.5554336!4d88.3720374!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgESY2hpbmVzZV9yZXN0YXVyYW504AEA!16s%2Fg%2F1tdvn4j3?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Spoonful Cafe,cafe,+919830167093,"
14/B, Maharaj Nanda Kumar Rd, Lake Market, Kalighat, Kolkata, West Bengal 700029",,None,"https://www.google.com/maps/place/Spoonful+Cafe/@22.5554336,88.2999396,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x39f89de87a4affd5:0xc0af4151260b2c1!8m2!3d22.5145723!4d88.351687!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11k3d038jq?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
"Calcutta Bakery Cafe, Salt Lake",cafe,+919674391609,"
Ground floor, BD 97, Salt Lake Rd, BD Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",,None,"https://www.google.com/maps/place/Calcutta+Bakery+Cafe,+Salt+Lake/@22.5554336,88.2999396,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0275b954c8f7d9:0x989c6a3449139014!8m2!3d22.5941882!4d88.4057169!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11rvgjrykm?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Café Porkotinii,cafe,+919831044932,"
452, Kalikapur Rd, opp. Croma, North Purbachal, Haltu, Kolkata, West Bengal 700078",,None,"https://www.google.com/maps/place/Caf%C3%A9+Porkotinii/@22.5554336,88.2999396,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02710fd6e7ad41:0xe476357d71cfd733!8m2!3d22.5044427!4d88.3986431!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11m47wf8dk?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
Mrs. Wilson's Cafe,cafe,+919167419756,"
P 174, Jodhpur Park, Kolkata, West Bengal 700045",,"Social only: 
zomato.com","https://www.google.com/maps/place/Mrs.+Wilson's+Cafe/@22.5554336,88.2999396,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0277916cd75fd9:0x2c80fb70825d467f!8m2!3d22.5062215!4d88.3616563!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11fhlb8hxw?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
Indu Coffee-House Cafe & Restaurant,cafe,+919830540245,"
Ground Floor, Sulekha Crossing, 44, near ICA edu Skills institute, near Sukanta Setu, Shyama Pally, Bapuji Nagar, Jadavpur, Kolkata, West Bengal 700032",,"Social only: 
instagram.com","https://www.google.com/maps/place/Indu+Coffee-House+Cafe+%26+Restaurant/@22.5554336,88.2999396,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02719c1e904bfd:0x5947b09c29e9400!8m2!3d22.4915091!4d88.3719823!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11stqp4zr_?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
The Melbourne Cafe,cafe,+919748770363,"
D/2, Jodhpur Park, Kolkata, West Bengal 700068",,None,"https://www.google.com/maps/place/The+Melbourne+Cafe/@22.5554336,88.2999396,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0271794ac30e7d:0x619e6c35ad00e134!8m2!3d22.5044434!4d88.3622166!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11p6wl6wqp?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Cafe Bloom,cafe,+919147380868,"
5th Floor, Prasad Group, 16, Sudder St, Fire Brigade Head Quarter, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700016",,None,"https://www.google.com/maps/place/Cafe+Bloom/@22.5554336,88.2999396,13z/data=!3m1!5s0x3a027708dab22bcf:0xb56fa09ad476461c!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02772432139c4f:0xff396776e1835ae2!8m2!3d22.5586131!4d88.3512062!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11vxqrjfkl?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Calcutta Bakery Cafe Baghajatin,cafe,+919674391609,"
1st floor, Annapurna Bus stoppage, Building Society, 3/82, Raja Subodh Chandra Mallick Rd, beside EKTA HEIGHTS, Ramkrishna Upanibesh, Ganguly Bagan, Kolkata, West Bengal 700032",,None,"https://www.google.com/maps/place/Calcutta+Bakery+Cafe+Baghajatin/@22.5554336,88.2999396,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02712562b7615d:0xaf74f35798685040!8m2!3d22.4862159!4d88.3748268!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11h_6d0q1w?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Café 82,cafe,+913335101482,"
CJ 26, Ground, CJ Block, Sector II, Bidhannagar, Kolkata, West Bengal 700091",,None,"https://www.google.com/maps/place/Caf%C3%A9+82/@22.5873678,88.353031,13z/data=!3m1!5s0x3a0275be11abfbbf:0x80f209124fae8b0f!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0275b070678aa3:0xf5554e9d211e0f8a!8m2!3d22.5873678!4d88.4251288!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11r_xx_kdr?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
The Flamingo,cafe,+917980039220,"
1/1/D/1, Jodhpur Park, Kolkata, West Bengal 700068",,None,"https://www.google.com/maps/place/The+Flamingo/@22.5044784,88.2899771,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0271ab5a7af39f:0x14332d7bb461096a!8m2!3d22.5044784!4d88.3620749!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11svfgp51f?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Bunaphile Cafe,cafe,+918820231563,"
54, 72, 2, opposite Saha Textile, Hindustan Park, Gariahat, Kolkata, West Bengal 700029",,None,"https://www.google.com/maps/place/Bunaphile+Cafe/@22.5044784,88.2899771,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0271006eba7da7:0xff8050ada8fb4ab7!8m2!3d22.5178454!4d88.3615963!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11s04832vc?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
The London Shakes and Cafe (Phoolbagan),cafe,+917980656691,"
Swami Swarupananda's Ashram, P-9, CIT road scheme-6m, sarani, Kolkata, West Bengal 700054",,"Social only: 
facebook.com","https://www.google.com/maps/place/The+London+Shakes+and+Cafe+(Phoolbagan)/@22.5542445,88.3331626,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0277a08c2473a5:0x936669ca4c91a4b4!8m2!3d22.5726326!4d88.3906259!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11h6f9jmr0?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",0
Metro Adda Cafe,cafe,+919830444162,"
Metropolitan cooperativeltd. plot- 160, Sec-B, Kolkata, West Bengal 700107",,"Social only: 
instagram.com","https://www.google.com/maps/place/Metro+Adda+Cafe/@22.5693451,88.361409,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0275133c2a364f:0x29d701d21cf40008!8m2!3d22.5534809!4d88.4041664!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11t9c9612g?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Dawntown Cafe,cafe,+919038252391,"
44 A, Basement of Hotel Mangalam, Sarat Bose Rd, Paddapukur, Bhowanipore, Kolkata, West Bengal 700020",,None,"https://www.google.com/maps/place/Dawntown+Cafe/@22.5329082,88.2813035,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a0277e5165357e9:0x9d0d599bf4a8e9cd!8m2!3d22.5329082!4d88.3534013!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11lqjkmths?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Aldo Cafe Eatery Workspace,cafe,+918100388892,"
Salt Lake, CD 4, opposite SEBA HOSPITAL, CD Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",,None,"https://www.google.com/maps/place/Aldo+Cafe+Eatery+Workspace/@22.5909871,88.337854,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a027576b69d81e5:0x41e66226f13c0def!8m2!3d22.5909871!4d88.4099518!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11whwwsgp8?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
Cafe 82 - Best Cafe In Ballygunge,cafe,+913335821678,"
60B, Pankaj Mullick Sarani, Ballygunge, Kolkata, West Bengal 700029",,None,"https://www.google.com/maps/place/Cafe+82+-+Best+Cafe+In+Ballygunge/@22.5528088,88.280336,13z/data=!4m11!1m3!2m2!1scafe+in+Kolkata!6e5!3m6!1s0x3a02779cb8c65757:0x9cb44d0730d995e6!8m2!3d22.5275282!4d88.3555688!15sCg9jYWZlIGluIEtvbGthdGFaESIPY2FmZSBpbiBrb2xrYXRhkgEEY2FmZeABAA!16s%2Fg%2F11wg27qy8b?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",1
