name,category,phone,address,rating,website,google_maps_url
Marivana Cafe,cafe,+919641962491,"
Ward No 3, Marivana Cafe, Patel Road, Ward 3, Pradhan Nagar, Siliguri, West Bengal 734003",,None,"https://www.google.com/maps/place/Marivana+Cafe/@26.7250687,88.3223723,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4412fdb56d899:0x8edb6968e34bc88a!8m2!3d26.7278953!4d88.417318!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11w9fp_026?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Artoli Coffee & Eatery,cafe,+919875452633,"
24/1, Gaushala Road, Ward 26, Babupara, Siliguri, West Bengal 734005",,None,"https://www.google.com/maps/place/Artoli+Coffee+%26+Eatery/@26.7250687,88.3223723,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4411b6917de8d:0x681da8bf5f461b4f!8m2!3d26.7029134!4d88.4247608!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11svj5g0ss?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Netaji Cabin,cafe,+919434247564,"
Ward No. 11, PC8G+J4X, Bidhan Market Rd, Ward 11, Hakim Para, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/Netaji+Cabin/@26.7122741,88.3603217,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4416b50ecac85:0xe7147222c19797f9!8m2!3d26.7165628!4d88.4254484!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQl0ZWFfaG91c2XgAQA!16s%2Fg%2F1thnm5s9?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Nest Coffee Lounge,cafe,+919832011910,"
12, Nandalal Basu Sarani college para near Basu 's clinic And Darjeeling railway station Siliguri and, West Bengal 734001",,None,"https://www.google.com/maps/place/Nest+Coffee+Lounge/@26.7114205,88.358272,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e44144b012666d:0x1a05fbd41b5fb46e!8m2!3d26.7114205!4d88.4303698!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11j4kcwdh5?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Dr. Jugaad Cafe,cafe,+918250118920,"
N.B, M.C&H, Sushrata Nagar, Siliguri, Thiknikata, West Bengal 734012",,None,"https://www.google.com/maps/place/Dr.+Jugaad+Cafe/@26.6905857,88.3088236,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4456f89d080cd:0x595c33966f952fa6!8m2!3d26.6905857!4d88.3809214!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11fslwy_lt?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Siliguri's Chai Addaa,cafe,+917585877937,"
Champasari Rd, Indrapally, Champasari, Siliguri, West Bengal 734003",,None,"https://www.google.com/maps/place/Siliguri's+Chai+Addaa/@26.7665061,88.374133,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e44189cda6d81f:0xf85dff5d0a545ab1!8m2!3d26.7476854!4d88.4162465!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11rj3tzh_l?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Warm Cup,cafe,+919547339096,"
N.B, M.C&H, Sushruta Nagar, Thiknikata, Siliguri, West Bengal 734012",,None,"https://www.google.com/maps/place/Warm+Cup/@26.6899848,88.3095414,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e445a7886c81a1:0xa130ee46c9311788!8m2!3d26.6899848!4d88.3816392!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11tg724g6x?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Mim Bakery And Cafe,cafe,+919641396563,"
Thakur Panchanan Rd, beside Kalchakra Monastery, Ward 42, Salugara, Siliguri, West Bengal 734008",,None,"https://www.google.com/maps/place/Mim+Bakery+And+Cafe/@26.7622075,88.3755601,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441386dfe5c43:0x2bbb805ceee17886!8m2!3d26.7622075!4d88.4476579!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11wg7dvbmy?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
CAFE ADDA,cafe,+919933119999,"
Chekpost Traffic Point, Sevoke Rd, Ward 42, Don Bosco Colony, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/CAFE+ADDA/@26.7622075,88.3755601,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441ffd14bd2f1:0x94b84620f588f27d!8m2!3d26.7482002!4d88.4386114!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11sp5skr9q?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Half Full,cafe,+919733101911,"
The Planet Building, 3rd Floor, Sevoke Rd, beside Fly Smart, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/Backyard+Bistro+Hakimpara/@26.7622075,88.3755601,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441871b7a3f31:0x7e834e97eb4cd0f1!8m2!3d26.713475!4d88.4312086!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQZiaXN0cm_gAQA!16s%2Fg%2F11j8sk_0y9?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Backyard Bistro Hakimpara,cafe,+918101867767,"
Sarkar Villa, 20, Birendra Krishna Bhadra Sarani, near CBI office, College Para, Hakim Para, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/Backyard+Bistro+Hakimpara/@26.7622075,88.3755601,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441871b7a3f31:0x7e834e97eb4cd0f1!8m2!3d26.713475!4d88.4312086!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQZiaXN0cm_gAQA!16s%2Fg%2F11j8sk_0y9?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Ullash De Cafe,cafe,+917903308634,"
Ashutosh Mukherjee Rd, College Para, Hakim Para, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/Ullash+De+Cafe/@26.7622075,88.3755601,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4415af338872f:0x171d3ce8f78ba7a0!8m2!3d26.710943!4d88.4291607!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11rmr6mwm2?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
MARVEL CAFE,cafe,+913533583165,"
Sevoke Rd, Shastri Nagar, iti more, Bankim Nagar, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/MARVEL+CAFE/@26.7622075,88.3755601,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441bdcf138d59:0xc6061913a669d708!8m2!3d26.7351877!4d88.4408461!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11l27kvt2j?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
Gupshup cafe By Mithis (Drop the tea),cafe,+919749601002,"
ward no 41, Ulka club, Jyoti Nagar, Bankim Nagar, Siliguri, West Bengal 734001",,"Social only: 
instagram.com","https://www.google.com/maps/place/Gupshup+cafe+By+Mithis+(Drop+the+tea)/@26.7622075,88.3755601,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4412321e327b3:0xcf5d77a7e09b923d!8m2!3d26.7395951!4d88.4433998!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQRjYWZl4AEA!16s%2Fg%2F11w3nqh02f?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
The Coffee Shop,cafe,+917001984406,"
Shop no:3 3rd Floor Vega Circle Mall 3rd Mile, Bhaktinagar, Siliguri, West Bengal 734008",,None,"https://www.google.com/maps/place/The+Coffee+Shop/@26.739612,88.3635939,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e4410d6c8d220f:0xc90aa2393a42aa5!8m2!3d26.752213!4d88.4385705!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSARJpdGFsaWFuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11f8p4g5b7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
T-Point,cafe,+918617460905,"
Durgadas Banerjee Rd, Ashram Para, Hakim Para, Siliguri, West Bengal 734001",,None,"https://www.google.com/maps/place/T-Point/@26.739612,88.3635939,13z/data=!4m11!1m3!2m2!1scafe+in+siliguri!6e5!3m6!1s0x39e441920c43f347:0x4319a8d308d4ad70!8m2!3d26.7205736!4d88.4358355!15sChBjYWZlIGluIHNpbGlndXJpWhIiEGNhZmUgaW4gc2lsaWd1cmmSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11v5dlsyrh?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D"
