name,phone,address,city,business_type,contacted
Ullash De Cafe,7903308634,"
Ashutosh Mukherjee Rd, College Para, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Dr Jugaad Cafe,8250118920,"
N.B, M.C&H, Sushrata Nagar, Siliguri, Thiknikata, West Bengal 734012",siliguri,cafe,0
Half Full,9733101911,"
The Planet Building, 3rd Floor, Sevoke Rd, beside Fly Smart, Siliguri, West Bengal 734001",siliguri,cafe,0
The Coffee Shop,7001984406,"
Shop no:3 3rd Floor Vega Circle Mall 3rd Mile, Bhaktinagar, Siliguri, West Bengal 734008",siliguri,cafe,0
Ps Holiday Bistro,8597165126,"
Ice Factory Rd, Ward 46, Champasari, Siliguri, West Bengal 734003",siliguri,cafe,0
Roof Cafe,8642850999,"
Sikha Road, Sahudangi - Ashighar Rd, Farabari, Siliguri, West Bengal 734001",siliguri,cafe,0
Mim Bakery And Cafe,9641396563,"
Thakur Panchanan Rd, beside Kalchakra Monastery, Ward 42, Salugara, Siliguri, West Bengal 734008",siliguri,cafe,0
Netaji Cabin,9434247564,"
Ward No. 11, PC8G+J4X, Bidhan Market Rd, Ward 11, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Aura Retro Cafe,9883094936,"
opp. electricity office, beside Kolkata Arsalan Biryani, Ward 9, Khalpara, Siliguri, West Bengal 734005",siliguri,cafe,0
Fumi Asian Cafe,7908503106,"
217/347, Nivedita Rd, Ward 2, FUMI, Pradhan Nagar, Siliguri, West Bengal 734003",siliguri,cafe,0
Cafe Affair,8900434970,"
32, Girish Ghosh Sarani Rd, Ward 16, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Oshin,9339874804,"
Oshin Cafe&Organic zone, Milan More Rd, beside Bhanu Bhakta Statue, Siliguri, West Bengal 734003",siliguri,cafe,0
The Pink Cafe,9093509093,"
Debi Chaudhurani Rd, near Maruti Showroom, Ward 42, Salugara, Siliguri, West Bengal 734008",siliguri,cafe,0
Good Vibes Cafe,9004909521,"
opposite Subhang Fastfood, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003",siliguri,cafe,0
Teafi,7384151539,"
Jatin Das Sarani, Ward 14, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
1111 Cafe,9679295304,"
Madhab bhavan, 56, Balai Das Chatterjee Rd, Ward 16, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Gupshup Cafe By Mithis Drop The Tea,9749601002,"
ward no 41, Ulka club, Jyoti Nagar, Bankim Nagar, Siliguri, West Bengal 734001",siliguri,cafe,0
Breau Cafesiliguri,7810812394,"
UPPER GROUND FLOOR, SHELCON PLAZA, Sevoke Rd, beside ORIENT JEWELLERS, Ward 10, Janta Nagar, Siliguri, West Bengal 734001",siliguri,cafe,0
Love & Coffee Cafe,7364826396,"
Raja Rammohan Roy Rd, Ward 15, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
T-Point,8617460905,"
Durgadas Banerjee Rd, Ashram Para, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Hi Spirits Cafe & Pub,9832059826,"
2nd floor, City Center, Uttorayon Twp, Siliguri, West Bengal 734010",siliguri,cafe,0
Goat Elevated Dining & Cocktails Siliguri,9144408801,"
Time Square Building, Sevoke Rd, Ward 43, Siliguri, West Bengal 734001",siliguri,cafe,0
Sit & Meet Cafe,8250485314,"
NTS More, Siliguri Deshbandhu Chittaranjan Das Fly Over Rd, Ward 28, Deshbandhu Para, Siliguri, West Bengal 734004",siliguri,cafe,0
Mig Cafe,7797119358,"
MIG CAFE, near Akshaytara Apartment, opp. of Don bosco School, Ward 41, Don Bosco Colony, Siliguri, West Bengal 734001",siliguri,cafe,0
Tea & Talk Cafe,8436794272,"
PC4Q+P2P, opposite Biswas Variety store, Ward 20, Subhas Pally, Siliguri, West Bengal 734001",siliguri,cafe,0
Coffeelicious Cafe,7908868069,"
Methibari Salbari, Coffeelicious, West Bengal 734002",siliguri,cafe,0
Sanskari Adda Cafe,7047099122,"
Surya Sen Colony, Block A, Babupara, Siliguri, West Bengal 734004",siliguri,cafe,0
Cafe Moner Manush,7699011555,"
111/N, Nazrul Sarani, beside Junction 05, Ward 15, Hakim Para, Siliguri, West Bengal 734001",siliguri,cafe,0
The Cafe Trio,6295431101,"
near Mahela College, Ward 23, Dabgram, Siliguri, West Bengal 734006",siliguri,cafe,0
Black Pink Cafe Siliguri,8250385243,"
Gyanjyoti More, Ganapati Plaza, Hill Cart Rd, next to I Purple U Cafe, Dagapur, Siliguri, Bara Gharia, West Bengal 734002",siliguri,cafe,0
Sarkar'S Restro-Cafe,8327688459,"
28 S.P. SARANI, Haiderpara Main Rd, Siliguri, West Bengal 734001",siliguri,cafe,0
Coffee Club,9732573888,"
Sarada More, Bajar, Eastern Bypass, near Jaleswari, Shanti Nagar, Dabgram, Siliguri, West Bengal 734004",siliguri,cafe,0
Saag & C Art Gallery & Cafeteria,8597095598,"
S.P. Mukherjee Rd, Bairatisal, Jitu, West Bengal 734011",siliguri,cafe,0
7Th Heaven Cafe Siliguri,9339427195,"
Shop no. B, Pranami Enclave, Pranami Mandir Rd, opposite of 9/10 departmental store, Ward 13, Punjabi Para, Siliguri, West Bengal 734001",siliguri,cafe,0
Highness - Tea Cafe,9647833155,"
Commercial hub Complex, 37, Bidhan Rd, Ward 11, Near Pani Tanki More (Clock Tower), Siliguri, West Bengal 734001",siliguri,cafe,0
Daddies Restaurant & Tea Bar,7479047389,"
Kabi Bhanubhakta Path, near Greater Lions Eye Hospital, opposite of Siddhi Green Apartment, Ward 43, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal 734001",siliguri,cafe,0
The Artful Cafe,7908134106,"
Asuthosh mukherjee road, 2, Siliguri College Rd, opposite sisu udayan, Siliguri, West Bengal 734001",siliguri,cafe,0
